Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Train FPR,Val Accuracy,Val Precision,Val Recall,Val F1,Val FPR,Val Inference Time,Threshold,ROC AUC
1,0.11417896203325444,0.9654158109095973,0.9656652250609562,0.9654158109095973,0.9653902745182049,0.04933177535967283,0.99090318388564,0.9909091828750008,0.99090318388564,0.9909024104358563,0.01152542372881356,0.00018115179967849264,0.5891271,0.999434878458822
2,0.028799597454466804,0.9930030981306784,0.9930081666018374,0.9930030981306784,0.9930024947997796,0.009201781932374207,0.9919590643274854,0.9919647912666222,0.9919590643274854,0.991959562003594,0.006779661016949152,0.0001846545117485438,0.5668801,0.9995936379880943
3,0.017156085157601,0.9969888954641974,0.996989540367595,0.9969888954641974,0.996988803489159,0.003834075805155919,0.9933398310591293,0.9933403051621211,0.9933398310591293,0.9933396479555833,0.007627118644067797,0.00018296755312943784,0.18518947,0.9996269441830465
4,0.014079464319211851,0.9979809934904446,0.9979810411209252,0.9979809934904446,0.9979809736737176,0.002336960490761703,0.993421052631579,0.9934210364577974,0.993421052631579,0.9934209854595878,0.00711864406779661,0.00018309963996569935,0.61260873,0.9995355239646002
5,0.012705253670510643,0.9983116928325269,0.9983118590647964,0.9983116928325269,0.9983116665268187,0.002117870444752793,0.9948018193632229,0.9948027756694978,0.9948018193632229,0.9948016400360797,0.006271186440677966,0.00018233827680175067,0.28012028,0.9996961867050128
6,0.01167277125346128,0.9985901764890173,0.9985902031056559,0.9985901764890173,0.998590182218118,0.0013875702913897611,0.9941520467836257,0.9941560230300931,0.9941520467836257,0.9941523534412365,0.0047457627118644066,0.0001827192585370694,0.30755883,0.9996016341182317
7,0.010443285918371433,0.9991471438019981,0.9991471520119097,0.9991471438019981,0.9991471403232429,0.0009859052070400934,0.9942332683560754,0.994233320442998,0.9942332683560754,0.9942332878294936,0.005932203389830509,0.0001901969884881112,0.19959024,0.9996259264937565
8,0.00960161205342782,0.9993211960873046,0.999321198228414,0.9993211960873046,0.9993211944272635,0.0007668151610311838,0.9933398310591293,0.9933405708797863,0.9933398310591293,0.9933399646768215,0.006440677966101695,0.00020462539848218575,0.9856865,0.9995228755405648
9,0.009582836118698916,0.9994082222299578,0.9994082227284599,0.9994082222299578,0.9994082212655087,0.000657270138026729,0.9943957115009746,0.9943958486050783,0.9943957115009746,0.9943956157616674,0.006271186440677966,0.00018725523397161869,0.65631247,0.9990781453207439
10,0.009562408721918667,0.9992689804017126,0.9992689852079327,0.9992689804017126,0.9992689815913081,0.0007303001533630323,0.9951267056530214,0.9951278069825049,0.9951267056530214,0.9951268354947606,0.004406779661016949,0.0001859866116556585,0.66177905,0.9996659335779312
